population_size,tournament_size,mutation_rate,lap,value,weight,fitness,convergence_gen,runing_duration
30,2,4,0,3592.0,281.1,1200.6646,708,0.023195743560791016
30,2,4,1,3647.0,283.3,1271.458,1306,0.04293370246887207
30,2,4,2,3622.0,268.9,1266.4336,1386,0.045754194259643555
30,2,4,3,3663.0,280.2,1263.1018,910,0.029640913009643555
30,2,4,4,3428.0,269.0,1181.8259,516,0.01671910285949707
30,2,5,0,3519.0,284.0,1247.0326,1154,0.04004621505737305
30,2,5,1,3727.0,274.6,1259.8023,808,0.027737855911254883
30,2,5,2,3675.0,280.2,1219.2555,866,0.029941082000732422
30,2,5,3,3718.0,267.7,1314.7487,1338,0.046362876892089844
30,2,5,4,3619.0,269.5,1287.8473,1626,0.056561946868896484
30,2,6,0,3457.0,282.8,1225.7581,950,0.03430986404418945
30,2,6,1,3741.0,285.0,1276.509,808,0.029309749603271484
30,2,6,2,3725.0,278.3,1293.0741,696,0.025205135345458984
30,2,6,3,3534.0,283.0,1224.063,826,0.02978515625
30,2,6,4,3687.0,279.9,1245.4096,896,0.032434940338134766
30,2,7,0,3353.0,275.9,1124.3544,394,0.014375925064086914
30,2,7,1,3553.0,275.3,1239.821,946,0.03581857681274414
30,2,7,2,3755.0,270.5,1308.572,994,0.03768658638000488
30,2,7,3,3586.0,277.9,1281.8647,1222,0.046716928482055664
30,2,7,4,3477.0,257.6,1196.8404,566,0.02115321159362793
30,2,8,0,3738.0,278.5,1295.221,1154,0.04612302780151367
30,2,8,1,3118.0,231.1,1195.5336,906,0.035874128341674805
30,2,8,2,3547.0,278.1,1147.515,608,0.023965835571289062
30,2,8,3,3633.0,268.8,1243.3104,1308,0.05220794677734375
30,2,8,4,3772.0,274.3,1282.9985,842,0.033200740814208984
30,7,1,0,3951.0,280.2,1356.4217,1402,0.038387298583984375
30,7,1,1,3935.0,282.8,1353.5798,1848,0.051455020904541016
30,7,1,2,4010.0,284.2,1375.0029,2462,0.0681757926940918
30,7,1,3,4087.0,284.7,1375.3978,1676,0.04618191719055176
30,7,1,4,3833.0,279.1,1343.0632,1386,0.03814697265625
30,7,2,0,3805.0,283.8,1340.736,1396,0.0411379337310791
30,7,2,1,3700.0,280.1,1291.2915,760,0.02205491065979004
30,7,2,2,3584.0,283.1,1230.0422,636,0.01853013038635254
30,7,2,3,3683.0,274.3,1282.6367,688,0.019856929779052734
30,7,2,4,3852.0,284.4,1330.1234,800,0.02335524559020996
30,7,3,0,3849.0,280.8,1357.9092,1602,0.05001497268676758
30,7,3,1,3965.0,281.3,1368.9397,1704,0.053375959396362305
30,7,3,2,3962.0,281.1,1347.085,1684,0.05264997482299805
30,7,3,3,3765.0,279.5,1335.5973,1508,0.0472559928894043
30,7,3,4,3655.0,283.3,1309.1717,976,0.03014087677001953
30,7,4,0,3769.0,283.4,1291.4774,836,0.027489900588989258
30,7,4,1,3804.0,277.6,1352.7376,1306,0.0430908203125
30,7,4,2,3674.0,283.7,1300.4711,1068,0.035053253173828125
30,7,4,3,3762.0,280.3,1311.7328,1104,0.03643298149108887
30,7,4,4,3483.0,255.8,1261.0242,442,0.014302968978881836
30,7,5,0,3825.0,280.6,1337.1692,1332,0.0463252067565918
30,7,5,1,3642.0,269.0,1299.8304,1290,0.04499697685241699
30,7,5,2,3763.0,277.9,1297.213,958,0.03302001953125
30,7,5,3,3662.0,272.3,1278.3797,816,0.0283200740814209
30,7,5,4,3566.0,274.0,1256.5912,546,0.01843404769897461
30,7,6,0,3692.0,282.0,1296.1669,814,0.029589176177978516
30,7,6,1,3790.0,284.2,1314.4715,1414,0.05190086364746094
30,7,6,2,3695.0,267.8,1291.8328,648,0.023261070251464844
30,7,6,3,3792.0,280.7,1292.0222,1090,0.04014897346496582
30,7,6,4,3518.0,282.7,1261.0924,356,0.012403011322021484
30,7,7,0,3412.0,270.4,1216.5548,666,0.025111913681030273
30,7,7,1,3643.0,279.9,1282.2799,520,0.019589900970458984
30,7,7,2,3716.0,280.3,1255.2291,728,0.027698040008544922
30,7,7,3,3723.0,265.3,1304.6604,1408,0.05433988571166992
30,7,7,4,3800.0,283.1,1331.5716,1002,0.03827309608459473
30,7,8,0,3565.0,276.1,1241.2773,784,0.031172990798950195
30,7,8,1,3530.0,272.0,1247.064,718,0.028606176376342773
30,7,8,2,3388.0,250.9,1226.8637,814,0.03243899345397949
30,7,8,3,3766.0,282.1,1272.2939,976,0.03904008865356445
30,7,8,4,3716.0,276.6,1294.112,1042,0.04174208641052246
30,15,1,0,3761.0,282.6,1328.1578,800,0.02182912826538086
30,15,1,1,4157.0,281.1,1416.7095,2862,0.07929301261901855
30,15,1,2,4106.0,284.6,1407.3623,1550,0.04287528991699219
30,15,1,3,4189.0,283.2,1417.3788,2212,0.061300039291381836
30,15,1,4,4136.0,283.7,1411.9143,2098,0.05801510810852051
30,15,2,0,3790.0,283.8,1325.3383,924,0.026858091354370117
30,15,2,1,4107.0,281.6,1382.4749,1508,0.04428505897521973
30,15,2,2,4000.0,281.7,1389.7967,1618,0.047530174255371094
30,15,2,3,3985.0,279.3,1353.9786,1156,0.03369474411010742
30,15,2,4,4143.0,283.3,1392.9808,1742,0.05130887031555176
30,15,3,0,4031.0,284.5,1376.7045,1550,0.04833412170410156
30,15,3,1,3760.0,276.6,1305.9401,466,0.014164924621582031
30,15,3,2,3670.0,279.1,1306.5027,774,0.023877859115600586
30,15,3,3,3875.0,268.4,1364.3422,1098,0.03415703773498535
30,15,3,4,3862.0,277.7,1340.5379,972,0.03027510643005371
30,15,4,0,3667.0,277.4,1261.3774,650,0.02123117446899414
30,15,4,1,3949.0,277.2,1345.2355,1348,0.04460787773132324
30,15,4,2,3616.0,272.1,1279.958,532,0.01709890365600586
30,15,4,3,3850.0,281.8,1354.4013,602,0.01950693130493164
30,15,4,4,3890.0,281.4,1351.9656,1374,0.04564404487609863
30,15,5,0,3859.0,276.4,1332.8896,1012,0.034970998764038086
30,15,5,1,3750.0,274.0,1320.8915,982,0.03416609764099121
30,15,5,2,3692.0,275.8,1316.3905,904,0.03134799003601074
30,15,5,3,4033.0,283.1,1346.998,1228,0.04283618927001953
30,15,5,4,3548.0,266.5,1241.8404,498,0.01685309410095215
30,15,6,0,3744.0,259.8,1325.3894,1012,0.036965131759643555
30,15,6,1,3745.0,275.7,1284.964,754,0.02730393409729004
30,15,6,2,3679.0,279.4,1292.6439,752,0.027437210083007812
30,15,6,3,3871.0,281.2,1321.429,992,0.03600907325744629
30,15,6,4,3672.0,265.6,1277.8838,532,0.019227981567382812
30,15,7,0,3728.0,277.2,1322.7689,1514,0.058444976806640625
30,15,7,1,3709.0,279.1,1320.5438,1270,0.04891014099121094
30,15,7,2,3485.0,258.9,1231.1951,392,0.014377117156982422
30,15,7,3,3986.0,281.6,1340.1006,1478,0.05700993537902832
30,15,7,4,3796.0,280.4,1337.1323,1234,0.04735732078552246
30,15,8,0,3482.0,276.1,1236.8623,942,0.037706851959228516
30,15,8,1,3844.0,283.8,1297.8815,1236,0.04977083206176758
30,15,8,2,3620.0,276.8,1268.6617,504,0.019726991653442383
30,15,8,3,3716.0,261.2,1330.1962,1082,0.0436100959777832
30,15,8,4,3748.0,275.8,1248.1261,600,0.023534059524536133
30,22,1,0,4163.0,284.3,1418.883,1732,0.04792618751525879
30,22,1,1,3957.0,281.3,1380.3605,1132,0.03104114532470703
30,22,1,2,4004.0,284.4,1366.3926,1398,0.03870701789855957
30,22,1,3,4273.0,282.3,1431.5013,1890,0.05265378952026367
30,22,1,4,4150.0,283.8,1405.1989,1860,0.051590919494628906
30,22,2,0,3785.0,284.8,1329.6329,768,0.022358179092407227
30,22,2,1,4251.0,283.3,1424.6494,2434,0.0719139575958252
30,22,2,2,4071.0,284.0,1396.0465,1974,0.05845975875854492
30,22,2,3,4052.0,284.8,1395.9982,1112,0.032585859298706055
